,brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
169,Kia,EV4 Hatchback Standard Range,170,55.0,0.0,283.0,134,340,7.4,80.0,CCS,0.0,435,5,FWD,C - Medium,4430,1860,1485,Hatchback
170,Kia,EV4 Sedan Long Range,170,78.0,0.0,283.0,124,495,7.7,105.0,CCS,0.0,490,5,FWD,C - Medium,4730,1860,1480,Sedan
171,Kia,EV4 Sedan Standard Range,170,55.0,0.0,283.0,128,355,7.4,80.0,CCS,0.0,490,5,FWD,C - Medium,4730,1860,1480,Sedan
172,Kia,EV6 GT,260,80.0,384.0,770.0,178,385,3.5,205.0,CCS,1800.0,480,5,AWD,JC - Medium,4695,1890,1545,SUV
173,Kia,EV6 Long Range 2WD,185,80.0,384.0,350.0,143,455,7.3,205.0,CCS,1800.0,490,5,RWD,JC - Medium,4695,1880,1575,SUV
174,Kia,EV6 Long Range AWD,185,80.0,384.0,605.0,154,440,5.2,205.0,CCS,1800.0,490,5,AWD,JC - Medium,4695,1880,1575,SUV
175,Kia,EV6 Standard Range 2WD,185,60.0,288.0,350.0,140,345,8.7,150.0,CCS,750.0,490,5,RWD,JC - Medium,4695,1880,1575,SUV
176,Kia,EV9 76.1 kWh RWD,190,73.0,348.0,350.0,165,355,8.5,160.0,CCS,900.0,333,7,RWD,JF - Luxury,5010,1980,1755,SUV
177,Kia,EV9 99.8 kWh AWD,200,96.0,456.0,600.0,188,435,6.0,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5010,1980,1755,SUV
178,Kia,EV9 99.8 kWh AWD GT,220,96.0,456.0,740.0,190,420,4.6,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5015,1980,1755,SUV
179,Kia,EV9 99.8 kWh AWD GT-Line,200,96.0,456.0,700.0,190,425,5.3,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5015,1980,1780,SUV
180,Kia,EV9 99.8 kWh RWD,185,96.0,456.0,350.0,171,450,9.4,194.0,CCS,900.0,333,7,RWD,JF - Luxury,5010,1980,1755,SUV
181,Kia,Niro EV,167,64.8,96.0,255.0,140,385,7.8,70.0,CCS,750.0,475,5,FWD,JC - Medium,4420,1825,1570,SUV
182,Lancia,Ypsilon,150,48.1,96.0,260.0,122,310,8.2,80.0,CCS,0.0,309,5,FWD,B - Compact,4080,1760,1440,Hatchback
183,Leapmotor,C10,170,69.9,0.0,320.0,166,350,7.5,70.0,CCS,1500.0,435,5,RWD,JD - Large,4739,1900,1680,SUV
184,Leapmotor,T03,130,36.0,0.0,158.0,136,225,12.7,30.0,CCS,0.0,210,4,FWD,A - Mini,3620,1652,1577,Hatchback
185,Lexus,RZ 300e,160,64.0,96.0,266.0,149,365,8.0,100.0,CCS,750.0,522,5,FWD,JC - Medium,4690,1860,1600,SUV
